#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_100_length_1468_cov_60.478001	125	1344	ehaB	87-1276/2949	=======./......	8/36	40.25	90.52	ecoli_vf	gi:222155165	ecoli_vf~~~ehaB~~~gi:222155165 structural protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_59_length_16648_cov_22.824526	5499	7389	etpD	33-1923/1929	========/======	8/12	97.72	76.59	ecoli_vf	gi:75994479	ecoli_vf~~~etpD~~~gi:75994479 type II secretion protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_59_length_16648_cov_22.824526	7395	8877	etpE	1-1483/1506	========/======	4/4	98.34	77.78	ecoli_vf	gi:75994480	ecoli_vf~~~etpE~~~gi:75994480 type II secretion protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_59_length_16648_cov_22.824526	10152	10577	etpG	1-426/435	===============	0/0	97.93	77.93	ecoli_vf	gi:75994482	ecoli_vf~~~etpG~~~gi:75994482 type II secretion protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_5_length_179070_cov_43.094421	43240	44478	hofq	1-1239/1239	===============	0/0	100.00	98.63	ecoli_vf	SPG000051	ecoli_vf~~~hofq~~~SPG000051 Outer membrane secretin Adherence Hemorrhagic coli pilus
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_5_length_179070_cov_43.094421	118713	118843	entD	11-140/771	===...../......	2/3	16.73	85.61	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_60_length_16541_cov_46.672962	7829	8067	fimD	2516-2754/2754	.............==	0/0	8.68	97.91	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_60_length_16541_cov_46.672962	14107	15894	EC55989_3316	1-1788/1788	===============	0/0	100.00	96.20	ecoli_vf	gi:218696616	ecoli_vf~~~EC55989_3316~~~gi:218696616 UvrD/REP helicase
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_60_length_16541_cov_46.672962	15960	16265	EC042_4549	1-306/306	===============	0/0	100.00	92.81	ecoli_vf	gi:387609970	ecoli_vf~~~EC042_4549~~~gi:387609970 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_60_length_16541_cov_46.672962	16320	16416	EC55989_3315	1-97/1368	==.............	0/0	7.09	98.97	ecoli_vf	gi:218696615	ecoli_vf~~~EC55989_3315~~~gi:218696615 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_61_length_15237_cov_39.311185	1	127	fimD	2519-2645/2754	.............==	0/0	4.61	100.00	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_63_length_14494_cov_40.512007	768	1400	gadX	1-633/633	===============	0/0	100.00	98.10	ecoli_vf	SPG000043	ecoli_vf~~~gadX~~~SPG000043 gb|ADUM01000070.1|:99762-100394 Escherichia coli 3431 gec3431.assembly.48 whole genome shotgun sequence HTH-type transcriptional regulator gadX
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_64_length_13954_cov_45.527085	11932	12107	fimD	2517-2692/2754	.............==	0/0	6.39	95.45	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_66_length_11153_cov_25.545710	1134	2570	hlyD	1-1437/1437	===============	0/0	100.00	99.72	ecoli_vf	gi:386617332	ecoli_vf~~~hlyD~~~gi:386617332 hemolysin secretion protein HlyD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_66_length_11153_cov_25.545710	2589	4712	hlyB	1-2124/2124	===============	0/0	100.00	99.67	ecoli_vf	gi:386617331	ecoli_vf~~~hlyB~~~gi:386617331 hemolysin translocation ATP-binding protein HlyB
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_66_length_11153_cov_25.545710	4784	7858	hlyA	1-3075/3075	===============	0/0	100.00	99.77	ecoli_vf	gi:386617330	ecoli_vf~~~hlyA~~~gi:386617330 hemolysin structural protein HlyA
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_66_length_11153_cov_25.545710	7870	8382	hlyC	1-513/513	===============	0/0	100.00	99.42	ecoli_vf	gi:386617329	ecoli_vf~~~hlyC~~~gi:386617329 hemolysin-activating lysine-acyltransferase HlyC
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_68_length_10603_cov_27.867889	8032	8267	fimD	2519-2754/2754	.............==	0/0	8.57	96.19	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_68_length_10603_cov_27.867889	10022	10237	stb	1-216/216	===============	0/0	100.00	99.54	ecoli_vf	SPG000008	ecoli_vf~~~stb~~~SPG000008 (TC1_0008) - heat-stable enterotoxin II
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_70_length_9889_cov_48.277300	9764	9889	fimD	2519-2644/2754	.............==	0/0	4.58	100.00	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_7_length_160583_cov_39.466146	29652	30704	Z1307	1-1041/1041	========/======	1/12	100.00	94.78	ecoli_vf	gi:15800816	ecoli_vf~~~Z1307~~~gi:15800816 outer membrane protein A
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_7_length_160583_cov_39.466146	45059	45796	ycbF	1-738/738	===============	0/0	100.00	98.24	ecoli_vf	gi:15804987	ecoli_vf~~~ycbF~~~gi:15804987 putativi pili assembly chaperone
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_7_length_160583_cov_39.466146	45762	46325	ycbV	1-564/564	===============	0/0	100.00	98.76	ecoli_vf	gi:15800803	ecoli_vf~~~ycbV~~~gi:15800803 putative fimbrial-like protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_7_length_160583_cov_39.466146	46285	46761	ycbU	1-477/477	===============	0/0	100.00	100.00	ecoli_vf	gi:15800802	ecoli_vf~~~ycbU~~~gi:15800802 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_7_length_160583_cov_39.466146	46929	47909	ycbT	1-981/981	===============	0/0	100.00	97.66	ecoli_vf	gi:15800801	ecoli_vf~~~ycbT~~~gi:15800801 fimbrial protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_7_length_160583_cov_39.466146	47900	50500	ycbS	1-2601/2601	===============	0/0	100.00	97.89	ecoli_vf	gi:15804976	ecoli_vf~~~ycbS~~~gi:15804976 PapC-like porin protein involved in fimbrial biogenesis
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_7_length_160583_cov_39.466146	50525	51226	ycbR	1-702/702	===============	0/0	100.00	97.44	ecoli_vf	gi:15800800	ecoli_vf~~~ycbR~~~gi:15800800 putative chaperone
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_7_length_160583_cov_39.466146	51309	51860	ycbQ	1-549/549	========/======	1/3	100.00	82.43	ecoli_vf	gi:15800799	ecoli_vf~~~ycbQ~~~gi:15800799 putative fimbrial-like protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_7_length_160583_cov_39.466146	65400	65536	entD	1-137/771	===...../......	2/2	17.64	87.68	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_81_length_5337_cov_21.839539	693	1451	paa	1-759/759	===============	0/0	100.00	100.00	ecoli_vf	SPG000094	ecoli_vf~~~paa~~~SPG000094 Escherichia coli plasmid pTENT2 porcine attaching-effacing associated protein variant 1 (paa-1) gene complete cds.
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_82_length_5310_cov_46.302720	96	668	stgA	1-573/573	===============	0/0	100.00	99.83	ecoli_vf	gi:46487739	ecoli_vf~~~stgA~~~gi:46487739 StgA
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_82_length_5310_cov_46.302720	716	1447	stgB	1-732/732	===============	0/0	100.00	100.00	ecoli_vf	gi:46487740	ecoli_vf~~~stgB~~~gi:46487740 StgB
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_82_length_5310_cov_46.302720	1472	3994	stgC	1-2523/2523	===============	0/0	100.00	99.72	ecoli_vf	gi:46487741	ecoli_vf~~~stgC~~~gi:46487741 StgC
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_82_length_5310_cov_46.302720	4005	5078	stgD	1-1074/1074	===============	0/0	100.00	99.44	ecoli_vf	gi:46487742	ecoli_vf~~~stgD~~~gi:46487742 StgD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_8_length_149793_cov_43.856607	13274	18124	upaG/ehaG	1-4851/4851	===============	0/0	100.00	99.96	ecoli_vf	gi:260846630	ecoli_vf~~~upaG/ehaG~~~gi:260846630 adhesin
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_8_length_149793_cov_43.856607	100698	102575	espL3	1-1878/1878	===============	0/0	100.00	99.36	ecoli_vf	SPG000024	ecoli_vf~~~espL3~~~SPG000024 gi|47118301:4652971-4654848 Escherichia coli O157:H7 str. Sakai DNA complete genome PTS system arbutin-like IIC component
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_8_length_149793_cov_43.856607	116293	116396	entD	11-114/771	===...../......	2/2	13.36	89.52	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_92_length_2809_cov_19.708799	410	1741	espR1	1-1332/1332	===============	0/0	100.00	99.78	ecoli_vf	gi:260843778	ecoli_vf~~~espR1~~~gi:260843778 T3SS effector-like protein EspR-homolog
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_94_length_2624_cov_16.869043	421	639	estIa	1-219/219	===============	0/0	100.00	100.00	ecoli_vf	gi:268507207	ecoli_vf~~~estIa~~~gi:268507207 heat stable enterotoxin I
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_9_length_149471_cov_45.037504	40846	41730	ECS88_3547	1-885/885	===============	0/0	100.00	99.77	ecoli_vf	gi:218560235	ecoli_vf~~~ECS88_3547~~~gi:218560235 lipoprotein NlpI
